x,y
4B,4B
3A,4B
4B,4B
4B,4B
3A,4B
1B,4B
4B,4B
4B,4B
4B,4B
4B,Teachers
2A,4B
4B,5A
5A,5A
3A,5A
4A,5A
5A,5A
5A,5B
5A,5B
5A,5A
4A,5A
4A,5A
5A,5A
5A,5A
5A,5A
3B,5A
3A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
4B,5A
5A,Teachers
3B,5A
5A,5A
5A,5A
5A,5A
4B,5A
3B,5A
5A,5A
3B,5A
4A,5A
5A,5B
5A,5B
5A,5B
3B,5A
5A,5B
4A,5A
4A,5A
5A,5A
5A,5A
3B,5A
5A,5A
5A,5A
5A,5A
3B,5A
5A,5A
3A,5A
5A,5B
5A,5A
5A,5B
5A,5B
4B,5A
5A,5B
5A,5B
2B,5A
3A,5A
4A,5A
5A,5B
4A,5A
4B,5A
5A,5A
5A,5B
5A,5A
5A,5B
5A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,Teachers
5A,5A
5A,5B
5A,5A
5A,5A
4B,5A
5A,5B
4B,5A
5A,5B
5A,5B
3B,5A
2B,5A
4A,5A
5A,5B
4B,5A
5A,5A
4B,5A
5A,5B
3B,5A
5A,5A
4A,5A
4A,5A
5A,5A
5A,5A
3A,5A
5A,5A
5A,5A
5A,5A
4A,5A
5A,5A
5A,5B
5A,5A
5A,5B
5A,5A
5A,5B
5A,5B
4B,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5B
5A,5A
5A,5A
5A,5A
4A,5A
5A,5A
4B,5A
5A,5A
5A,5A
4B,5A
5A,5A
3A,5A
3A,5A
3A,5A
1A,5A
1A,5A
5A,5B
5A,5A
5A,5A
5A,Teachers
5A,5A
5A,5A
5A,5A
5A,5A
3B,5A
1A,5A
3A,5A
5A,5A
5A,5B
5A,5B
5A,5B
5A,5B
2B,5A
3A,5A
5A,5A
4A,5A
5A,5B
5A,5A
5A,5B
5A,5B
3A,5A
3B,5A
5A,5A
3A,5A
5A,5B
5A,5B
5A,5A
1A,5A
5A,5A
5A,5B
1A,5A
5A,5A
3B,5A
2B,5A
3B,5A
5A,5A
5A,Teachers
5A,5B
5A,5A
5A,5B
5A,5B
3B,5A
4B,5A
5A,5B
3A,5A
5A,Teachers
5A,5B
5A,5B
4B,5A
3A,5A
3A,5A
5A,5B
4B,5A
5A,5A
4A,5A
4A,5A
5A,5A
5A,5B
3A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
4A,5A
4A,5A
5A,5A
4A,5A
5A,5B
5A,5A
4A,5A
5A,5A
5A,5B
5A,5A
5A,Teachers
5A,5B
5A,5B
5A,5A
3B,5A
5A,5B
5A,5A
5A,5A
5A,5B
5A,5B
5A,5A
4B,5A
5A,5A
5A,5A
5A,5B
5A,5A
5A,5B
4B,5A
5A,5B
4A,5A
4A,5A
5A,5A
3A,5A
5A,5A
5A,5A
5A,5A
5A,5B
5A,5B
1A,5A
2A,5A
5A,5A
3A,5A
4B,5A
4B,5A
5A,5A
5A,5B
5A,5A
5A,5B
4A,5A
4B,5A
5A,5B
5A,5A
4A,5A
4A,5A
5A,5B
5A,5B
5A,5B
5A,5B
5A,5A
5A,5B
3B,5A
3B,5A
3A,5A
4B,5A
2B,5A
4B,5A
5A,5A
5A,5A
5A,5B
3A,5A
5A,5B
5A,5A
5A,5B
5A,5A
4B,5A
5A,5B
4A,5A
5A,5A
5A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5B
5A,5A
3A,5A
5A,5A
5A,5B
5A,5A
5A,5B
1A,5A
4B,5A
5A,5B
5A,5A
5A,5B
5A,5A
5A,5B
5A,5A
1A,5A
5A,5A
3A,5A
3A,5A
5A,5A
4B,5A
3A,5A
5A,5A
4B,5A
3A,5A
5A,5B
4B,5A
5A,5A
3A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5B
2A,5A
1A,5A
5A,5A
2B,5A
5A,5A
1B,5A
5A,5B
5A,5B
5A,5A
5A,5B
5A,5B
5A,5A
5A,5A
5A,5B
2B,5A
4B,5A
3B,5A
5A,5A
5A,5B
5A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
1A,5A
5A,5A
4B,5A
5A,5A
5A,5A
5A,5B
3B,5A
5A,5B
5A,5A
5A,5A
4A,5A
5A,5B
5A,5A
2B,5A
2B,5A
5A,5B
4B,5A
5A,5A
4B,5A
5A,5B
4B,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5B
3B,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5B
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
3A,5A
5A,5A
5A,5A
5A,5A
5A,5A
4A,5A
5A,5A
5A,5A
5A,5A
5A,5B
5A,5B
4B,5A
4B,5A
2B,5A
4A,5A
4B,5A
5A,5B
5A,5B
5A,5B
1A,5A
5A,5A
5A,5B
5A,5A
2B,5A
4B,5A
5A,5A
5A,5A
5A,5B
5A,5A
5A,5A
3A,5A
5A,5A
5A,5A
5A,5A
5A,5B
5A,5B
3B,5A
5A,5B
5A,5A
3B,5A
3B,5A
5A,Teachers
5A,5B
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5A
5A,5B
1A,5A
5A,5A
5A,5B
5A,5B
5A,5B
5A,5A
5A,5B
5A,5A
5A,Teachers
5A,5A
4A,5A
2A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5B
1A,5A
5A,5B
5A,5B
5A,5A
5A,5A
4B,5A
5A,5A
4A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5B
4B,5A
5A,5B
5A,5A
3A,5A
5A,5A
4A,5A
5A,5B
5A,5A
5A,5A
5A,5A
5A,5B
5A,5B
5A,5B
5A,5B
5A,5B
5A,Teachers
5A,5B
5A,5A
5A,5B
5A,5A
5A,5A
4B,5A
5A,5B
5A,5B
5A,5B
5A,5B
4B,5A
5A,5A
2B,5A
4B,5A
3B,5A
5A,5B
5A,5A
5A,5A
3A,5A
5A,5A
3A,5A
5A,5A
1B,5A
4B,5B
4B,5B
5A,5B
5B,5B
5B,5B
4B,5B
5B,5B
5B,5B
4A,5B
5B,5B
5B,5B
5B,5B
5B,5B
4B,5B
5A,5B
5B,5B
5B,5B
5B,5B
5B,Teachers
5B,5B
5A,5B
5B,5B
5A,5B
5A,5B
3A,5B
5A,5B
2B,5B
5B,5B
5A,5B
4B,5B
5B,5B
5B,5B
5B,5B
4B,5B
5B,5B
5B,5B
5B,5B
5A,5B
5B,5B
4A,5B
4A,5B
5A,5B
5B,5B
3B,5B
5A,5B
5A,5B
5A,5B
2A,5B
2B,5B
5B,5B
4B,5B
5B,5B
2B,5B
4A,5B
5B,5B
3A,5B
1A,5B
5A,5B
4A,5B
5B,5B
5B,5B
5B,5B
4A,5B
2B,5B
5B,5B
5A,5B
5B,5B
5B,5B
5B,5B
5B,5B
1A,5B
4A,5B
5B,5B
5A,5B
5A,5B
5A,5B
5B,5B
5A,5B
5A,5B
2B,5B
2B,5B
5A,5B
4B,5B
5B,5B
5B,5B
5B,5B
5B,Teachers
5B,5B
4B,5B
5B,5B
1A,5B
5B,5B
4A,5B
4A,5B
5A,5B
5B,5B
3B,5B
5A,5B
5A,5B
3B,5B
3B,5B
4B,5B
5B,5B
3B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,5B
4A,5B
5B,5B
5B,Teachers
5B,5B
5B,5B
5A,5B
5A,5B
5B,5B
5A,5B
5B,Teachers
5A,5B
5A,5B
3A,5B
3B,5B
5B,5B
2B,5B
4A,5B
1A,5B
5A,5B
4A,5B
5B,5B
5B,5B
5B,5B
5B,5B
2B,5B
4B,5B
5A,5B
4A,5B
5B,5B
5B,5B
5B,5B
5B,Teachers
5B,5B
5A,5B
1A,5B
4A,5B
5A,5B
3A,5B
5B,5B
4A,5B
5B,5B
4A,5B
5A,5B
2A,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5A,5B
3A,5B
5B,5B
5B,5B
4A,5B
4A,5B
1A,5B
5A,5B
5A,5B
1A,5B
2B,5B
4B,5B
4B,5B
5B,5B
5B,5B
4A,5B
5B,5B
5B,5B
4B,5B
5A,5B
5B,5B
5B,5B
5B,Teachers
1A,5B
5B,5B
5B,5B
3B,5B
2A,5B
4A,5B
5B,5B
5B,5B
5A,5B
5B,5B
2B,5B
5A,5B
1B,5B
5B,5B
5A,5B
4B,5B
1B,5B
5B,5B
3B,5B
5B,5B
5B,5B
3A,5B
5B,5B
5B,5B
4A,5B
5A,5B
5A,5B
3A,5B
5A,5B
4A,5B
5A,5B
4A,5B
5B,5B
4B,5B
3A,5B
4B,5B
5B,5B
3A,5B
4A,5B
1A,5B
1B,5B
5B,5B
5B,5B
4A,5B
5A,5B
4A,5B
5B,5B
5B,5B
5B,5B
5B,Teachers
1A,5B
4A,5B
5B,5B
5B,Teachers
5A,5B
2B,5B
5B,5B
2B,5B
5B,5B
4B,5B
1B,5B
5A,5B
4B,5B
4B,5B
5B,5B
5B,5B
4A,5B
5A,5B
5B,5B
2A,5B
5B,5B
1A,5B
5B,5B
4A,5B
5A,5B
5B,5B
4B,5B
3B,5B
5A,5B
5A,5B
4A,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5A,5B
4A,5B
5B,5B
5B,5B
5B,5B
3B,5B
5B,5B
5A,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,Teachers
5B,5B
5B,5B
5A,5B
5A,5B
5B,5B
3B,5B
5A,5B
5A,5B
3B,5B
2A,5B
1A,5B
5B,5B
3A,5B
4B,5B
4A,5B
4A,5B
5A,5B
5B,5B
4B,5B
5B,5B
4A,5B
4B,5B
5B,5B
5A,5B
5A,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
2B,5B
5B,5B
5A,5B
4B,5B
1B,5B
2A,5B
4B,5B
5B,5B
5A,5B
5B,Teachers
5B,5B
3A,5B
5B,5B
1A,5B
5B,5B
4A,5B
4A,5B
5A,5B
3B,5B
3B,5B
5A,5B
5A,5B
4A,5B
5A,5B
2A,5B
5A,5B
5B,5B
1A,5B
5B,5B
5B,5B
4A,5B
5A,5B
5B,5B
5B,5B
5A,5B
5B,Teachers
3B,5B
5B,5B
4A,5B
5B,5B
5A,5B
5B,5B
4B,5B
5A,5B
4B,5B
5B,5B
5B,5B
4B,5B
1A,5B
5B,5B
5B,5B
4A,5B
4A,5B
5A,5B
5B,5B
3B,5B
5A,5B
5A,5B
5A,5B
5B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5A,5B
5B,5B
5B,5B
5B,Teachers
5A,5B
5B,5B
5A,5B
5A,5B
5B,5B
5A,5B
4B,5B
5B,5B
4A,5B
5B,5B
4B,5B
5A,5B
4A,5B
5B,5B
1A,5B
5B,5B
5B,5B
3B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,5B
2A,5B
5B,5B
5B,Teachers
5A,5B
5B,5B
5A,5B
5A,5B
5B,5B
3B,5B
1A,5B
5A,5B
1A,5B
2A,5B
4B,5B
1A,5B
5A,5B
5B,5B
5A,5B
4A,5B
5B,5B
5B,Teachers
5B,5B
5B,5B
5A,5B
5B,5B
5A,5B
5B,5B
5A,5B
4B,5B
5B,5B
4A,5B
5B,5B
5B,5B
5A,5B
5A,5B
3B,5B
5A,5B
5B,5B
1A,5B
5A,5B
5B,5B
4A,5B
5B,5B
5B,Teachers
5B,5B
5B,5B
5B,5B
4A,5B
3B,5B
3B,5B
4A,5B
5B,5B
5A,5B
4B,5B
5A,5B
4B,5B
5B,5B
5A,5B
4B,5B
5B,5B
5A,5B
5A,5B
5A,5B
5A,5B
4B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5A,5B
5B,5B
5A,5B
5A,5B
5B,5B
5B,5B
5B,5B
5B,5B
5B,5B
5A,5B
1B,5B
5B,Teachers
1B,5B
5B,5B
5A,5B
5A,5B
5B,5B
5B,Teachers
5A,5B
5A,5B
5B,5B
5B,5B
5B,Teachers
5B,5B
5B,5B
5A,5B
5A,5B
5A,5B
4A,5B
5B,5B
5A,5B
5B,5B
5A,5B
4B,5B
1A,5B
5B,5B
5B,Teachers
5B,5B
5B,5B
4A,5B
5B,5B
5A,5B
4B,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,5B
5A,5B
5B,5B
5B,Teachers
3A,5B
5B,5B
5B,5B
5A,5B
5B,5B
1A,5B
1B,5B
5B,5B
4A,5B
1A,5B
5B,5B
5A,5B
2B,5B
4B,5B
5B,Teachers
5B,5B
3B,5B
5B,5B
5B,5B
5B,Teachers
5A,5B
5B,5B
5B,5B
2A,5B
5A,5B
1A,5B
2B,5B
4B,5B
4B,5B
5B,5B
3B,5B
1B,5B
5A,5B
4B,5B
5B,5B
1A,5B
5A,5B
1A,5B
5A,5B
1A,Teachers
5A,Teachers
5B,Teachers
5B,Teachers
5A,Teachers
5B,Teachers
4B,Teachers
5A,Teachers
5A,Teachers
5A,Teachers
5A,Teachers
1A,Teachers
Teachers,Teachers
5A,Teachers
5A,Teachers
5A,Teachers
5A,Teachers
2A,Teachers
5B,Teachers
5A,Teachers
3B,Teachers
5A,Teachers
5B,Teachers
5B,Teachers
4A,Teachers
5A,Teachers
5A,Teachers
Teachers,Teachers
Teachers,Teachers
5A,Teachers
5A,Teachers
5A,Teachers
3B,Teachers
3A,Teachers
3A,Teachers
4B,Teachers
3B,Teachers
3A,Teachers
3B,Teachers
3B,Teachers
3B,Teachers
3A,Teachers
4B,Teachers
1B,Teachers
Teachers,Teachers
3B,Teachers
3B,Teachers
3B,Teachers
3A,Teachers
3B,Teachers
3B,Teachers
3A,Teachers
2A,Teachers
1B,Teachers
Teachers,Teachers
3A,Teachers
3A,Teachers
3A,Teachers
3A,Teachers
3A,Teachers
5A,Teachers
3B,Teachers
Teachers,Teachers
Teachers,Teachers
3B,Teachers
Teachers,Teachers
3B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4A,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
5B,Teachers
4B,Teachers
4B,Teachers
5B,Teachers
Teachers,Teachers
Teachers,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
4B,Teachers
3A,Teachers
Teachers,Teachers
Teachers,Teachers
Teachers,Teachers
5A,Teachers
4A,Teachers
4A,Teachers
4A,Teachers
4A,Teachers
4B,Teachers
5B,Teachers
4A,Teachers
4A,Teachers
5A,Teachers
4A,Teachers
Teachers,Teachers
4A,Teachers
Teachers,Teachers
5B,Teachers
Teachers,Teachers
4B,Teachers
4A,Teachers
5B,Teachers
4A,Teachers
4A,Teachers
Teachers,Teachers
5A,Teachers
4A,Teachers
4A,Teachers
2A,Teachers
2A,Teachers
2B,Teachers
2B,Teachers
2A,Teachers
2A,Teachers
2B,Teachers
2B,Teachers
Teachers,Teachers
2B,Teachers
5B,Teachers
1B,Teachers
2B,Teachers
2A,Teachers
2B,Teachers
2B,Teachers
2B,Teachers
2B,Teachers
1B,Teachers
2B,Teachers
2B,Teachers
5B,Teachers
2A,Teachers
2A,Teachers
2A,Teachers
2A,Teachers
2A,Teachers
5B,Teachers
2B,Teachers
Teachers,Teachers
2B,Teachers
2B,Teachers
2B,Teachers
Teachers,Teachers
1B,Teachers
Teachers,Teachers
1A,Teachers
1B,Teachers
1B,Teachers
1B,Teachers
1A,Teachers
1B,Teachers
1B,Teachers
4A,Teachers
Teachers,Teachers
3A,Teachers
3B,Teachers
Teachers,Teachers
5B,Teachers
3B,Teachers
4B,Teachers
3A,Teachers
4B,Teachers
3A,Teachers
5B,Teachers
5B,Teachers
5B,Teachers
1A,Teachers
1A,Teachers
1A,Teachers
1A,Teachers
1A,Teachers
